cleaned_content,sentiment
sip ok,1
"aplikasi crash tidak bisa update saldo, sudah ke potong kai pay nya tapi",0
baik,1
aplikasi yang sangat mudah untuk bertransaksi kak,1
buat aplikasi mahal mahal bukan mempermudah tapi mempersulit.,0
mantap,1
"update mulu, ribet kalau lagi buru buru",1
aplikasi tolol daftar saja susah,0
keren nih aplikasi pesan tiket oke.pas pesan makanan juga cepat.fast respon.kru restonya.pokoknya the best deh.,1
aplikasi yang sangat bagus buat saya,1
semanggat bang,1
"aplikasi tidak jelas masak mulai jam 00.00 aku sudah online dan mencoba berkali kali buat pesan tapi tidak bisa. tiba tiba bisa di jam 00.30 sudah tinggal yang tanpa tempat duduk,",0
"mau masuk aplikasi ini lupa katasandi ,mau meminta katasandi baru malah tidak bisa jelek banget",0
oke,1
jika bisa pembatalan pemesanan kursi di buat lah jadi kita mau cancel dari aplikasi ini saja tidak usah ke stasiun,1
sangat mudah dan aman,1
aplikasi sangat membantu untuk berpergian,1
sudah beberapa kali dihapus terus didownload lagi tetap tidak ada pilihan untuk buat beli tiket jis pria tepuk jidat warna kulit sedang tidak jelas banget,0
ap transjakarta ini memudahkan banget buat aku yang sering naik transportasi umum. bisa langsung pesan lewat ap buat tiketnya terus ternyata ada fitur” tambahan kayak beli pulsa juga ada. pokoknya mudah digunakan deh,1
tingkatkan pelayanan utamakan keselamatan,1
aplikasi ini sangat membantu saya,1
"aplikasi lamban, ribet ui nya tidak fleible dan sangat bertele, namun sejauh ini cukup membantu jadi alternatif jika kelupan kartu. tapi tidak jadi pilihan utama karena cukup rumit bagi saya. semoga kedepannya dapat diperbaiki sehingga bisa tidak sekedar jadi alternatif jadi penggunaan utama juga",0
ok,1
"terkadang icon busway 5m hilang, tapi selebihnya lumayan akurat",1
semoga pelayanan publik makin baik dan bagus,1
bagus,1
"min serius masa aktif pembelian hanya 2 jam tidak 1 hari sesuai dengan tanggal, ya saya beli jam 1 pagi dan akan expired jam 3 pagi wajah menangis keras",1
ok,1
"tiket tidak muncul berapa kali tidak ada refund, belum lagi jaringan sudah beli tiket, aplikasi malah tidak bisa dibuka",0
okey,1
semakin mudah pesan kereta mrt lewat aplikasi jak lingko terimakasih developer melipat tangan,1
mantap aplikasi mrtnya,1
pokoknya sip pakai busway trans,1
aplikasi bego suka error gangguan tidak jelas,0
"sopirnya pemalas, menunggu 20 menit tidak dtng2 bisnya",0
terbaik,1
saldo berkurang tapi tiket nya tidak muncul,0
baik,1
the best,1
kode qr tidak bisa di baca oleh mobile banking,0
payah ketika kita pesan tiket dan turun di stasiun pertengahan tidak muncul nama stasiunnya. 3 kali saya tek nama stasiunnya tetap saja tertera nama stasiun sebelumnya. nah saya pikir mungkin seperti ini. tapi ketika sampai stasiun yang tertera pihak keamanan datang ketempat duduk saya dan seolah olah saya buat pelanggaran besar. dan di paksa turun. saya jadi bingung nih karena stasiun tujuan saya belum sampai saya harus turun. yang saya kesalkan kenapa aplikasi ini tak jelas buat nama stasiun buat nama stasiunnya wajah pusing karena mabuk,0
saat cari rute malah di suruh naik grab. hahahaha,0
bagus,1
baik,1
masa harus di instal mulu,0
mudah digunakan,1
"aplikasi ini sangat membantu bagi saya sebagai pengguna baru busway transjakarta, sangat mudah untuk menemukan halte yang ingin kita tuju",1
mantap,1
sangat mudah,1
ok,1
very bagus,1
oke,1
tidak bisa upgrade ke basic,0
"semenjak kebijakan baru bikin emosi, semoga bisa seperti dulu biar di ganti bintangnya",0
aplikasinya lemot banget,0
"loadingnya lama,tidak bisa buat akun",0
sangat membantu sekali,1
bagus,1
memudahkan waktu perjalanan,1
ok,1
okey,1
"pemeliharaan teros, tiket di aplikasi malah gangguan, mau berangkat pula, menyusahkan",0
"aplikasi sering error pas mau cek ini malah tidak bisa padahal koneksi internet bagus, ket masih dalam perbaikan.ayo dong ini milik pemerintah seharusnya bisa lebih baik",0
every thing is bagus,1
sukses selalu,1
nice,1
kai terbaik jempol ke atas,1
sangat membantu untuk melihat keberadaan bus,1
aplikasinya bagus tampilannya mudah dipahami dan sangat informatif untuk melihat rute,1
memuaskan,1
"aplikasi bagus tapi kok tidak bisa detect di pintu transjakarta, bahkan di thamrin, tosari, sarinah, karet. katanya karena ini aplikasi baru belum update mesin deteksi di pintu",0
cepetin lagi kalau habis topup,0
"sangat efektif sekali aplikasi ini, saya yang suka naik transportasi umum sangat terbantu. terimakasih",1
cek informasi kedatangan bus jadi mudah paki aplikasi transjakarta. pelayanannya rama. belu tiketnya juga bisa lewat sini jadi tak perlu datang ke terminal,1
saya naik bis karena kegerahan haredang angek-angek lalu jalan-jalan naik bis trans ber ac.lalu turun lagi jika sudah tidak gerah lagi.hehe maklum orang pingiran saya ini.oke bos,1
bagus,1
tidak bisa kebuka.padahal android sudah gede,0
bagus,1
"aplikasi ini memudahkan kita untuk keliling jakarta, cocok buat yang mau berpergian dengan teman atau keluarga, nyaman dan bersih, mencari rute nya juga sangat mudah",1
tidak bisa bayar pakai astrapay? loading mulu,0
baik terpercaya,1
"aplikasi ini membantu banget buat cek rute dan jadwal bus transjakarta. tampilan simpel, mudah dipakai, dan info rutenya cukup akurat. semoga terus dikembangkan biar makin bagus.",1
dengan aplikasi ini. memudahkan untuk naik busway dan melihat titik bus berada dimana memudahkan untuk memantau bus sedang dimana,1
"aplikasi sampah macam apa ini, daftar dan lain lain susah apalagi masalah otp, tidak masuk masuk sampai fail tidak jelas",0
datanya kurang akurat.,0
"aplikasi susah, saldo lama masuk, cs antri lama, kalau lupa pin kode tidak bisa dikirim di email harus pakai ap lain, ribet",0
mantaps,1
aplikasi nya mudah digunakan dan mudah di pahami mantap,1
"aplikasinya mudah di gunakan, jadi sangat membantu berpergian selama di jakarta",1
okey,1
error mulu,0
pembelian tiket commuter line gagal sudah klalom cs tidak ada pengembalian sulit aplikasi pemerintah,0
sering error,0
semenjak pakai aplikasi transjakarta ini saya jadi tau ke suatu tempat dengan kendaraan yang harganya sangat murah dan pastinya jadi praktis dan tidak perlu nnya ke orang lain,1
semoga transjakarta tetap memudahkan masyarakat untuk bertransportasi dengan aman dan nyaman.,1
ok,1
"mudah, cepat, praktis dan aman",1
kasih 1 bintang dulu. tadinya untuk pembayaran bisa pakai dana. tapi sekarang kok malah tidak bisa.saya cuma punya dana. kurang memuaskan.,0
mntap,1
sangat membantu untuk mengetahui rute dan merencanakan perjalanan tanpa kendaraan pribadi.,1
"untuk perjalanan lansia yang diskon 20% susah untuk mendapatkanya, mudah terhapus systimnya",1
pakai aplikasih suer enak banget memudahkan perjalanan saya jadi saya tidak perlu pusing lagi,1
"pelayanan pengaduan parah lambat banget menyebabkan saya rugi 25%, hubungan cs pakai wa, email, inbox fb sama semua lebih dari 1 jam tidak ada pelayanan. padahal saya butuh mau reschedule tiket dan karena error terus saya mau bertanya ke cs tapi pelayan parah. daripada kursi habis akhirnya saya beli baru lagi dan membatalkan yang lama dan merugi 25%.",0
bagaimana nih baru download terus habis registrasi malah keluar terus dari ap? hadeh memang ya kalau sistem begini susah benernya,0
"dikira benaran pakai aplikasi, beli tiket lokal pakai ovo.saja sulitnya meminta pun. kalau memang tidak siap sistem online manual saja. buang2 kuota dan waktu",1
"suka lag, suka tidak ada jadwal",0
di,1
keren,1
cukup informatif,1
"sering trouble sulit melakukan pembelian tiketnya, sudah masuk dan pesan di pembayaran tidak bisa, sering juga data hilang sendiri, mohon pihak kai melakukan perbaikan akses! seperti ada permainan didalamnya!",0
"mohon saya ada kendala, saat masukan email, terjadi server bermasalah",1
memuaskan,1
update pembaharuannya maksa ya.,1
sangat membantu,1
"aplikasi yang bagus, mudah untuk mengetahui posisi bis, informasi yang diberikan sangat akurat",1
"aplikasi nya membantu banget, jadi lebih praktis.",1
tidak di beri masuk,0
"sekarang harga tiket kereta api ke sukabumi lumayan mahal juga ya, padahal masih di dalam kota belum keluar jawa tapi kenaikan harganya lumayan, tolong pihak kai mempertimbangkan lagi dengan harga tiket ke sukabumi yang cukup mahal yang semula hanya 45 ribu sekarang jadi 55 ribu kenaikannya cukup lumayan besar bagi saya",0
buru lah buka lagi pemesanan tiket nye lama banget sih lo,0
"transjakarta aplikasi mantap, tidak perlu ribet lagi mencari bus, semua rute dan jadwal sudah ada di sini. real-time pula, jadi tidak bakal ketinggalan bus. transaksinya juga gampang dan cepat. pokoknya, aplikasi ini wajib banget buat warga jakarta yang ingin bepergian lebih mudah",1
sangat baik dan membantu,1
"sejak pakai aplikasi ini perjalanan jadi lebih nyaman. rute dan halte bisa langsung dicek, tampilannya simpel dan mudah dipahami. sangat berguna buat yang sering naik transjakarta tiap hari.",1
keren,1
aplikasi paling lemot,0
"aplikasi ini sangat membantu saya kalau mau melakukan perjalanan,kita jadi lebih mudah mencari rute dan jdwal bus tanpa lama menunggu",1
mudah dan praktis,1
mntap,1
"bukannya mempermudah, malah mempersulit. payment e-wallet malah dihapus. aneh",0
"mudah penggunaannya, sederhana cara pembayarannya",1
transjakarta ap super membantu! aku bisa pantau jadwal bus dan bayar tiket secara elektronik. gampang banget! bintang 5 bintang medium putih,1
sip pokok nya,1
ok,1
aplikasinya sangat membantu,1
dari sama sudah memakai transjakarta dan overal pengalamannya selalu bagus. dengan adanya aplikasi ini sangat memudahkan aku untuk tahu tahu rute bus dan juga estimasinya jadi tidak bingung lagi pas naik,1
pelayanan yang sangat memuaskan,1
tidak bisa di akses,0
tolong diperbaiki aplikasi nya dipermudah jangan malah dipersulit untuk pemesanan kereta api lokal. kalau kereta api antar kota cepat giliran yang lokal sulit banget apalagi ada lonjakan saat mau idul fitri tambah bikin emosi setidaknya kalau tidak bisa memperbaiki apknya di stasiun disediakan pemesanan tiket kereta api lokalnya h-8 seperti di aplikasi kai akses,0
"masih sering banget error, tidak ada kendala jaringan transaksi pakai spay 2 kali berhasil namun tiket tidak keluar dan masih perihal koneksi servernya sepertinya sering sekali penuh makanya jadi lemot aplikasinya.",0
pesan mudah dan cepat,1
"cs slow respon, pengaduan lewat aplikasi tidak di tanggapi, aplikasi bobrok,",0
"benaran membantu aku banget sih, kita jadi bisa tau jadwalnya, rute nya, dan posisi nya dimana. keren deh. fitur2nya juga gampang dipakr tampilannya simpel jadi tidak pusing",1
ok,1
"aplikasi yang helpul banget , i lop lu pul",1
mantap,1
aplikasi yang menyusahkan pengguna. aplikasi ini mendeteksi aplikasi lain yang ada di hp anda,0
luar biasa,1
great ap,1
mudah bertransaksi,1
sangat membantu aplikasinya jempol ke atas jempol ke atas,1
mantul,1
"setelah update terbaru, ternyata untuk jadwal kereta commuter line, ""atur jadwal sendiri"" tidak bisa (tidak muncul). setelah mengetik waktunya.",0
keren mantab,1
ok mantap,1
oke daftarnya lama proses gagal terus,1
mantap,1
aplikasi yang paling musingkeun di hape. tiap mau pakai kudu update. kudu login yang kadang paswordnya sudah lupa. merepotkan,0
mantap,1
tidak ramah,0
puas dengan layanan nya bagus,1
"sejauh ini setelah tau cara kerjanya yudh tidak apa-apa yowes im fine walopun suka ngelag. oiya, request tambahkan fitur jual tiket lokal yang sudah kita beli tapi gajadi dipakai dong, soalnya saya sering salah memperkirakan waktu keberangkatan yang pas. makasi",1
nah ini nih,1
bagus,1
aplikasi nya sangat berguna,1
aman dan nyaman,1
sangat membantu,1
sangat mengecewakan.sulit untuk pesan betransaksi tiket.mohon di perbaiki,0
"aplikasi jelek, saldo sudah kepotong tiket tidak muncul anjir",0
ok,1
mudah dan bagus,1
"saya beli 2 tiket,sudah lunas,bukti transaksi ada eh pas saya cek di aplikasi nya buat lihat 2 tiket saya,malah yang muncul hanya 1 tiket,padahal pembayaran sudah berhasil beli 2 tiket,aneh tapi ya nyata.sebel sih,sama rada kecewa,lain kali lebih di perhatikan lagi detail aplikasi nya",0
susah log ini.,0
kai andalan terbaik,1
ok,1
aplikasi yang sangat bagus membantu,1
keren aplikasinys,1
p p l teman njnjmjnjmnnnhm sama o lupa p p lu loop lo o lol kok uo,1
setelah ada aplikasi ini enak banget buat mengecek rute&jadwal bus sih.semua real time dan sangat membantu untuk kebutuhan transportasi sehari hari.terimakasih,1
"aplikasi sebenarnya sudah bagus, membantu dan memudahkan kita mencari rute, tapi disayangkan saya membeli tiket akan tetapi tidak bisa di scan pada saat di halte, sudah coba beberpa halte sama hasilnya tidak bisa terbaca qr barcode",1
semoga makin mantap melayani cust,1
"mntap aplikasi nya,tidak banyak gangguan",1
mantap,1
mantul,1
sangat membantu sekali,1
baik,1
semua jadi mudah.,1
jos,1
friendly used! enjoy mendentingkan gelas,1
"banyak bugnya dan sering error, terus juga tidak bisa di lihat detail rutenya, seperti naik dimana, turun dimana, transit dimana,dan naik bus apa, itu tampilannya biru tua saja tidak ada penjelasannya. semoga segera di perbaiki ya agar orang lain tidak tersesat",0
"susah banget pesan tiket doang, keluar"" mulu",0
mantap ok,1
"tidak bisa log ini, terdapat tulisan failed request data, sudah menghubungi cs kai tapi lemot banget prosesnya",0
min knapa ya mau sambungin ovo pasti ada tulisan ( ups terjadi kesalahan ) begitu mulu wajah menangis keras padahal sinyal bagus,1
"ini yang ke 5 kali akun saya dikatakan untuk upgrade, sudah dilakukan gagal verifikasi. dana saya yang masih sisa jadi kemana kalau saya gagal upgrade gagal verifikasi. chaiting, email benar-benar slow respon dari kai. sudah pernah saya tidak mau donwload. gara- gara di madiun harus pakai aplikasi ya ikut saja, eh. sekarang perlu akun tidak bisa buat cek kak terus sisa danaku bagaimana tanda tanya merah",0
mantap jempol ke atas hati merah,1
bagaimana cara sih. cara mencari tujuan yang kita inginkan dari tempat lokasi saat ini bagaimana sih bingung nih cara nya?,0
"aplikasinya membantu banget, ada fitur pencarian rute sama info bus juga, informasinya juga akurat banget. tidak perlu khawatir tersesat di jakarta lagi deh",1
mantap,1
"setelah kembali di pengaruhi dan di update kembali akhirnya aplikasi ini bisa berfungsi kembali, cuma waktu kedatangannya masih kurang tepat, dan delay waktu kedatangan sangat jauh dan kurang akurat,terima kasih",1
mantap,1
"aplikasinya jelek banget, cuma mau mengecek jadwal kereta krl saja susahnya meminta ampun kalau tidak 'data tidak ditemukan' ya tidak muncul sama sekali padahal sudah di setting jelas stasiun dan jamnya, jaringan juga bagus. di web juga begitu, sama saja kadang bisa kadang tidak. tolong ya diperbaiki jangan cuma tampilannya saja yang dibagusin",0
"sebagai orang yang suka naik transum, menggunakan aplikasi transjakarta ini jadi memudahkan untuk tau rute perjalanan dari transjakarta",1
bagus,1
aplikasinya sangat membantu! informasi rute dan jadwal lengkap. sekarang perjalanan dari bekasi ke cawang sentral jadi lebih mudah. semoga terus ditingkat kan,1
sangat membantu transtportasi kami,1
bagus,1
"saya kecewa dengan pelayanan kai karena tiket anak saya ditolak boarding gara-gara salah isi nik, padahal dari 2 tiket yang dewasa sudah benar, yang anak-anak salah kode nik tapi tidak bisa boarding ikut orang tuanya. seharusnya di awal pada saat pemesanan sudah difilter dulu apabila nama dan nik tidak sesuai tidak bisa melanjutkan booking",0
jempol ke atas nice. dah bisa bayar pakai ovo. setelah update hari ini.,1
jos,1
"padahal sudah melakukan pembayaran dan berhasil tapi kode pemesanan sama barcodenya tidak muncul di aplikasi. tolonglah diperbaiki, sayang uangnya walaupun cuma dikit",0
ok,1
"aplikasi bagus, membantu pemesanan dan informasi tiket kai yang tersedia.",1
mantap,1
keren. maaf baru coba menaiki bus transjakarta kemarin ternyata ebih aman dan nyaman,1
login susah banget woi!,0
mantap aplikasinya,1
mau pesan tiket kok tidak ada jadwal,0
ok,1
sangat membantu,1
lebih efisien dan efektif,1
kok akun saya belum menemukan fitur female dan male ya,1
ok,1
ok,1
"kenapa pas cari tiket selalu ada keterangan ups jadwal tidak ditemukan padahal di hp lain bisa, aplikasi sudah saya uninstall dan saya instal lagi tapi pas cari tiket yang keluar tetap sama, padahal saya sering beli tiket lewat aplikasi ini, nanti kalau aplikasinya sudah normal lagi saya ubah bintangnya.",0
"praktis, mudah & cepat dapat tiket",1
aplikasi sampah,0
bisa beli tiket kereta,1
ok,1
"transjakarta ""bisa""",1
setiap mau pesan tiket.selalu ups.jadwal tidak di temukn.,0
keren,1
"sering gangguan, jadi sulit untuk p pemesanan",1
itu'si al bagus,1
pelayanan sangat baik dan memuaskan,1
"hanya dibatasi 4 penumpang, padahal versi sebelumnya bisa lebih. mhn jangan dbatasi",0
mudah dan praktis,1
terimakasih sudah menemani perjalanan ku,1
sangat membantu,1
aplikasi ampas. mau update ke basic selalu gagal dari 2 bulan lalu.,0
ok,1
"menyesal update karena setelah update malah fitur connecting train nya hilang, padahal fitur tersebut sangat membantu",0
terimakasi,1
jos,1
sangat membantu dalam perjalanan saya,1
"ini kenapa ya sudah upgrade dari member default ke member basic meminta upgrade terus aplikasinya, jadi akun saya di freeze selama sejam",0
terima kasih kai sudah memudahkan pelanggan,1
pelayanan tambah baik.,1
"habis update mikrotrans malah hilang, sinyal tidak stabil posisi bus lompat2an,tidak ada pilihan berdasarkan rute, tidak ada garis rute,pilih bus stop arah rambutan malah muncul tracking yang arah blokm.",0
top,1
"parah nih ap gl ada kebijakan nya saat refund karena harga yang murah tidak bisa di batalkan, anying memang! aku beli yang murah karena banyak orang cuk! aku beli dari jogja ke yia, 4 orang, salah destinasi tidak bisa di batalkan alasan karena dari yia beli yang murah! anying memang! kalau waktu memet kami paham saja, ini lho masih 1 minggu kedepan, memang kocak! hey ini tanggal 17 tiket tanggal 24 tidak bisa di batalkan!",0
top up saldo tidak masuk. cs bot tidak berfungsi dengan baik. aplikasi plat merah kok amburadul begini,0
sangat mudah dan membantu pengguna kai kereta api trimakasih,1
"aplikasi nya bagus, lebih memudahkan dalam mlihat transportasinya. dan mapsnya juga akurat banget. sangat membantu sekali aplikasi nya",1
"tidak jelas banget nih aplikasi, mentang-mentang tidak ada saingan jadi tidak ada pembetulan atau bagaimana? tolonglah betulin dikit aplikasinya apalagi pas sudah pergantian hari masak mau pesan tiket tidak bisa tau-tau sudah habis mulu! betulin lah aplikasimu itu!",0
kok iso dapat rating 4.8 hm.masih belum fantas sepertinya.mangap melipat tangan melipat tangan,0
"harusnya kalau kereta terlambat ada pengembalian minimum 50℅ sebagai bentuk komitmen, ini sudah terlambat satu jam dapat maaf doang . benar-benar tidak mau rugi banget",0
"aplikasi transjakarta sangat membantu! rute jelas, jadwal bus informatif, dan mudah digunakan.",1
ok,1
sangat bagus,1
bersih banget,1
bagus,1
aplikasi lemot,0
"jelek banget ap nya setiap lama tidak dipakai harus masuk daftar lagi ,terus sudah di reset karena masih ada saldo di kai nya tetap tidak bisa entah apa alasannya tidak jelas berulang2di coba tetap tidak bisa,padahal sengaja mau abisin saldo di kai nya biar jangan isi saldo mending pakai ewalet saja jangan ada saldo terendam sampai sekarang tidak bisa masuk ke pembayaran alasannya pasword tidak cocok padahal sudah reset pasword.entah apa gebrakannya",0
"sangat mengecewakan sikap dari supir nya,tidak ramah sama sekali.baru saya alami",0
"aplikasi tidak ada manfaat,akurasi nol besar tidak bisa dipakai buat perjalanan yang mendesak",0
"mudah pembelian tiket, real time. no biaya admin",1
"transjakarta sangat membantu dalam perjalanan, maju terus transjakarta",1
"sudah di jelasin sudah di berikan bukti segala macam, tidak ada tanggung jawab sama sekali katanya punya pemerintah tapi cuma meminta di kembalikan saldo 20rb tidak mau dengan alasan ini itu hadeh hadeh aplikasi tolol",0
bagus,1
"web error terus, semoga pelayanan lebih ditingkatkan lagi wajah terbalik , 4 hari begadang demi dapat tiket tidak pernah dapat gara gara web sering error",0
sering time out,1
tingkatkan pelayanan dan semakin maju jempol ke atas jempol ke atas jempol ke atas,1
mantap,1
terimakasih semua baik,1
"ih ribet, mau lihat otp dari notif saja malah ke restart, tidak jelas banget sih.",0
"sering timeout saat pemesanan, tau tau tiket sudah habis",0
membantu sekali.,1
membanyaki lagi driver nya,0
bagus dan flash service,1
"aplikasi tidak guna, pencarian rute yang di sarankan seenaknya saja tidak relevan malah muter2 jadi harus mencari berkali-kali, pembayaran error kalau memang tidak bisa transaksi jangan di mengadakan menu bayar sekarang dong tutup saja ini aplikasinya kalau memang belum bisa dipakai secara maksimal, buang2 waktu transaksi taunya gagal jempol ke bawah",0
aplikasi ini tidak benar-benar bisa digunakan di semua halte tj. jadi hanya bisa dipakai untuk lihat rute bus saja. mungkin karena beberapa jalur/rute baru belum ada sistem scan tiket jadi kita harus betul-betul pakai kartu. saya pikir aplikasi ini belum menjawab semua kebutuhan pengguna tj atau sistem di halte-halte baru yang belum memadai.,0
lumayan.,1
semakin baik pelayanannya . perlu musholla disetiap kak . mayoritas penduduk indonesia islam . matarmaja ambarawa belim ada musholanya,1
"pakai aplikasi transjakarta jadi memudahkan perjalanan aku setiap hari karena semua rute dan posisi bus bisa langsung kelihatan. fitur-fiturnya juga jelas dan gampang dipakai, jadi tidak ribet kalau lagi buru-buru. sejauh ini aplikasinya membantu banget buat bikin perjalanan lebih teratur dan enak.",1
"saya sebagai pengguna kai kelas ekonomi agak kecewa karena tidak tersedianya fasilitas ibadah, mohon kedepannya untuk diperhatikan",0
tidak diurus,0
mudah dan cepat,1
mantab,1
allhamdulillah lancar,1
keren,1
mudah dan sangat membantu,1
"kenpa nih aplikasi padah sudah dapatr kenpa otp ya selalu bermasalah mulu aneh,padah sudah di kirim tetap tidak bisa",0
mudah di pakai & di pahami,1
agak sulit untuk masuk,1
pembayaran hanya via astra pay.mengira top up moter bisa buat bayar ternyata cuma buat tukar produk.tertipu,0
baik sekali,1
buruk,0
ok,1
setelah di update malah makin lemot,0
ada asuransi pembatalan tiket membantu bila ada reschedule jadwal untuk keberangkatan,1
cukup lancar jaya dioperasikan aplikasinya.,1
ok,1
ok,1
aplikasi transjakarta memudahkan mencari rute dan halte terdekat jadi lebih efisien,1
agak panik awalnya karena setelah notif berhasil di sama bank. tapi saldo tidak segera muncul di kai akses,1
mohon maaf bintang nya hanya 1 karena saya kurang puas untuk metode pembayaran nya mohon di tambahkan lagi agar penumpang bisa membayar menggunakan e-wallet dan virtual account bank,0
"bintang 4 dulu , belum di coba",1
sangat membantu,1
"tq kai akses. sangat membantu perjalanan,aman, bersih, ber'ac. succes selalu, pertahankan",1
"gampang lag, error, lemot, dsb. tidak ada inisiatif ditingkatin apa kualitas aplikasinya?! menyusahkan pengguna!",0
"sejauh ini bagus, tapi sayang pembayaran via brimo bri belum tersedia.",1
"sangat payah banget sudah begadang buat pesan tiket .tinggal pembayaran tidak bisa,diulangi,malah muncul jadwal ups jadwal tidak ditemukan sampai sekarang,payah payah banget",0
"mudah, terjamin dan luar biasa",1
"apli kasih kureng, ngebug mulu, server gangguan terus sudah berataun begini begini saja payah",0
"saat jam 12 malam,banyak yang war tiket,nah saat saya lihat tiket tersedia namun saat saya klik no seat karena menunggu pembayaran yang lain jadi atau tidak. seharusnya sistem membacanya tidak tersedia terlebih dahulu baru saat ada orang yang meng-cancel tiketnya atau tidak dibayarkan tiket available kembali,jadi orang saat rebutan tiket tidak bingung karena tulisan tersedia namun saat masuk tidak bisa pesan seat.",0
lelet,0
aplikasi baik,1
"sangat tidak membantu .cuma mementingkan orang yang mempunyai telpon seluler ,tidak membantu orang yang tidak mempunyai tlpon seluler yang tidak mengerti hp .selalu tidak kebagian tiket kereta api kasihan orang"" yang tidak mengerti hp dan tidak mengerti membeli tiket dengan cara online",0
mau meminta tolong dong semoga anda anda baca ini.kenapa setiap saya tap ini kena potong pas tap out pun kena potong juga atau memang sekarang biaya untuk naik transjakarta jadi double ya ? karena saya tanya petugas di halte saya turun cuma di suruh komplain ke sini,0
"apaan deh pesan selalu ngelag, tiba-tiba time out, pas sudah bisa malah kursinya habis",0
ok,1
"coba instal untuk cari rute, tapi rekomendasinya tidak sebaik moovit/gmap",0
"transjakarta saya tidak bisa di pakai katanya invalid token,bagaimana nih mau mempermudah tapi tidak bisa di pakai,tolong di perbaiki",0
"mohon kai untuk servernya di upgrade, karena pada saat pembelian tiket error terus. tolong segera ditindak lanjuti. terimakasih",0
bayar qris saldo berkurang tapi tidak masuk aplikasi apaan ini!,0
"mohon, untuk di halaman awal (beranda) jangan terlalu banyak komponen / section, cukup kasih section untuk pesan tiket biar tidak berat saat pertama kali buka. section yang gaknada sangkut pautnya sama pemesanan tiket pindahin ke halaman / view lain. ini terasa berat di hp yang mid-high-end clas, apalagi low-end. mohon diperhatikan untuk kenyamanan dan kecepatan pengguna",0
"memberikan kemudahan bagi masyarakat yang ingin menggunakan fasilitas kendaraan umum yang cepat dan efisien. saya pernah ingin pesan tiket, tapi tidak punya mbanking. alhamdulillah bisa menggunakan pilihan kai pay melalui atm. terima kasih sudah mempermudah perjalanan-perjalanan kami dalam mengisi liburan bersama anak-anak dan keluarga. semoga semakin sukses untuk pt. kai dalam mewujudkan kendaraan umum yang aman, nyaman, dan mudah untuk di akses.",1
bagus,1
"barusan aplikasinya di update tapi kenapa jadi lemot banget sih, nge lag terus",0
"sangat puas,terbantu banget pakai akses kai",1
salut untuk kai. pertahankan terus khususnya di ticketing,1
mudah dan cepat,1
membantu sekali fiturnya dan untuk orang seperti saya yang membutuhkan,1
top,1
bagus,1
ok mantap,0
bermanfaat buatku saat perjalanan mendesak ada tempat kursi atau tiket,1
aplikasi sering down,0
bagus,1
"aplikasi nya sangat membantu dan memudahkan pengguna transportasi umum, khususnya transjakarta ya, i love transjakarta hati merah",1
sangat membantu untuk pemesanan tiket kereta api,1
"supirnya tidak ada yang mau bawa ke arah salemba,rata-rata maunya ke gondangdia jadi menyusahkan orang yang mau aktivitas karena di jam2 sibuk. tolong dikasih sangsi tegas karena saya jadi terlambat terus!",0
"percuma diperbaharui tampilannya saja sekedar cek keberangkatan krl saja ribet, sering sekali update aplikasi entah apa yang diperbaharui, malah menambah ribet cari tiket jam 2 dini hari tidak muncul tiketnya aduh",0
mantap,1
"mohon maaf ini bagaimana ya, saya pesan 2 tiket dan sudah melakukan pembayaran melalui brimo tapi di aplikasi kai nya notifnya masih menunggu pembayaran sampai waktunya habis dan tiketnya hilang padahal posisinya sudah saya bayar lewat brimo al hasil saldo saya berkurang dan tidak mendapatkan tiket",0
aplikasinya sangat efisien memudahkan segala hal dari navigasi yang sederhana dan gampang dipahami orang awam,1
proses cepat,1
layanan cepat,1
mantul .berguna untuk berpergian tidak takut nyasar nyasar.,1
bagus infonya,1
puas banget,1
semoga sesuai ekspetasi,1
nais kai,1
bagus,1
banyak update ditambah tidak sesuai sama posisi,0
alhamdulillah sangat membantu keperluan kami,1
"kenapa login member basic tidak bisa bisa ya, malah kembali login aplikasi nya hadeh",0
"keren pakai transjakarta jadi mudah kalau mau kemana-mana, selalu sesuai dengan titik, sangat membantu hati bersinar",1
"cuman bisa bayar pakai ovo, pakai gopay tidak bisa, pakai shope sering macet, apalagi pakai kai pay scam banget sistemnya jumlah kereta sangat terbatas, padahal tiap tahun di jawa ada penambahaan ratusan ribu-jutaan penumpang, tapi jumlah kereta tidak pernah bertambah. stasiun terasa sempit karena masih bangunan yang sama dengan 20 tahun yang lalu. setiao jalanan di semua stasiun menjadi riweuh dan macet karena pengaturan akses ke stasiun kacau.",0
aplikasi nya bagus. cuma untuk tj yang lewat tol seperti s11 t11 t12 kenapa pas masuk tol jalan nya lambat sekali. hanya 50km/jam ini sudah sangat maximal . sedangkan ketentuan tol saja untuk minimun 60km/jam . ngeri² sedep disenggol belakang karena lambat . tolong dipikirkan kembali,1
penanganan laporan / keluhan sangat lama sudah 6 bulan tidak ada progres sama sekali. kocak,0
ok,1
bagus,1
